voyage,arrival,departure,port,longitude,latitude
Second Voyage of the Beagle,4/28/1833,5/2/1833,"Maldonado, Rio de la Plata",-57.1915,-35.8796
Second Voyage of the Beagle,5/3/1833,5/17/1833,"Montevideo, Rio de la Plata",-56.22,-34.9
Second Voyage of the Beagle,5/23/1833,7/8/1833,"Maldonado, Rio de la Plata",-57.1915,-35.8796
Second Voyage of the Beagle,7/10/1833,7/13/1833,"Montevideo, Rio de la Plata",-56.22,-34.9
Second Voyage of the Beagle,7/14/1833,7/24/1833,"Maldonado, Rio de la Plata",-57.1915,-35.8796
Second Voyage of the Beagle,8/3/1833,8/3/1833,"Rio Negro, Rio de la Plata",-58.4256,-34.6329
Second Voyage of the Beagle,8/12/1833,8/12/1833,Monte-Bahia,-55.67,-39.02
Second Voyage of the Beagle,8/25/1833,9/7/1833,"Bahia Blanca, Rio de la Plata",-62.2582,-38.713
Second Voyage of the Beagle,9/12/1833,9/12/1833,Monte-Bahia,-55.67,-39.02
Second Voyage of the Beagle,9/16/1833,9/17/1833,"Montevideo, Rio de la Plata",-56.22,-34.9
Second Voyage of the Beagle,9/19/1833,9/20/1833,"Maldonado, Uruguay",-54.97,-34.92
Second Voyage of the Beagle,9/22/1833,9/23/1833,"Montevideo, Rio de la Plata",-56.22,-34.9
Second Voyage of the Beagle,10/1/1833,10/2/1833,"Samborombón Bay, Rio de la Plata",-57.1915,-35.8796
Second Voyage of the Beagle,10/6/1833,12/5/1833,"Maldonado, Rio de la Plata",-55.7833,-35.1944
Second Voyage of the Beagle,12/24/1833,1/4/1834,"Port Desire, Rio de la Plata",-65.9,-47.75
Second Voyage of the Beagle,1/10/1834,1/18/1834,"Port St Julian, Rio de la Plata",-65.901,-47.751
Second Voyage of the Beagle,1/20/1834,1/21/1834,"Port Desire, Rio de la Plata",-65.9,-47.75
Second Voyage of the Beagle,2/2/1834,2/10/1834,"Port Famine, Rio de la Plata",-65.902,-47.752
Second Voyage of the Beagle,2/17/1834,2/18/1834,"San Sebastian Bay, Tierra del Fuego",-67.7588,-53.8025
Second Voyage of the Beagle,2/25/1834,2/26/1834,Wollaston Island,-67.4572,-55.6657
Second Voyage of the Beagle,3/1/1834,3/4/1834,Beagle Channel,-67.8349,-54.8899
Second Voyage of the Beagle,3/13/1834,4/5/1834,"Port Louis, East Falkland Island",-59.523613,-51.796253
Second Voyage of the Beagle,4/13/1834,5/11/1834,Rio Santa Cruz,-70.1538,-50.0289
Second Voyage of the Beagle,5/16/1834,5/17/1834,Cape Virgenes,-68.35,-52.33
Second Voyage of the Beagle,6/1/1834,6/8/1834,"Port Famine, Rio de la Plata",-65.9,-47.75
Second Voyage of the Beagle,6/29/1834,7/14/1834,"San Carlos, Chilóe",-73.8223,-41.8701
Second Voyage of the Beagle,7/23/1834,11/11/1834,"Valparaíso, Chile",-71.6126,-33.0472
Second Voyage of the Beagle,11/22/1834,11/25/1834,"San Carlos, Chilóe",-73.8223,-41.8701
Second Voyage of the Beagle,12/3/1834,12/3/1834,Chonos Archipelago,-73.95,-45.1333
Second Voyage of the Beagle,12/7/1834,12/10/1834,San Pedro,-73.7336,-43.3527
Second Voyage of the Beagle,12/23/1834,12/27/1834,Christmas Cove,-75.3344,-46.8472
Second Voyage of the Beagle,1/8/1835,1/15/1835,Port Low,-73.9265,-42.6239
Second Voyage of the Beagle,1/20/1835,2/4/1835,"San Carlos, Chilóe",-73.8223,-41.8701
Second Voyage of the Beagle,2/9/1835,2/21/1835,"Valdivia, Chile",-73.2425,-39.8173
Second Voyage of the Beagle,3/4/1835,3/7/1835,"Concepción, Chile",-73.04439,-36.820135
Second Voyage of the Beagle,3/12/1835,3/17/1835,"Valparaíso, Chile",-71.6126,-33.0472
Second Voyage of the Beagle,3/28/1835,4/15/1835,"Concepción, Chile",-73.04439,-36.820135
Second Voyage of the Beagle,5/4/1835,6/7/1835,"Herradura, Chile",-71.35,-29.98
Second Voyage of the Beagle,6/14/1835,6/29/1835,"Valparaíso, Chile",-71.6126,-33.0472
Second Voyage of the Beagle,7/13/1835,7/14/1835,"Iquique, Peru (now Chile)",-70.15,-20.23
Second Voyage of the Beagle,9/17/1835,9/23/1835,"Stephens Bay, Chatham Island",-89.49,-0.8
Second Voyage of the Beagle,10/4/1835,10/4/1835,Abingdon Island,-90.7628,0.592
Second Voyage of the Beagle,10/11/1835,10/11/1835,Chatham Island,-89.49,-0.8
Second Voyage of the Beagle,11/15/1835,11/25/1835,"Matavai Bay, Tahiti",-149.51,-17.52
Second Voyage of the Beagle,12/21/1835,12/30/1835,"Bay of Islands, New Zealand",174.1646,-35.1844
Second Voyage of the Beagle,1/12/1836,1/29/1836,"Sydney Cove, New South Wales",151.2198,-33.8685
Second Voyage of the Beagle,1/30/1836,1/30/1836,"Port Jackson, New South Wales",151.2335,-33.8442
Second Voyage of the Beagle,2/6/1836,2/17/1836,"Hobart, Tasmania",147.34,-42.88
Second Voyage of the Beagle,3/6/1836,3/15/1836,"King George Sound, Western Australia",117.93,-35.03
Second Voyage of the Beagle,4/2/1836,4/12/1836,Keeling Island,96.87,-12.16
Second Voyage of the Beagle,4/30/1836,5/9/1836,"Port Louis, Mauritius",57.5012,-20.1608
Second Voyage of the Beagle,6/1/1836,6/18/1836,"Simon's Bay, Cape of Good Hope",18.4739,-34.3568
Second Voyage of the Beagle,7/8/1836,7/14/1836,St Helena,-5.71,-15.97
Second Voyage of the Beagle,7/20/1836,7/23/1836,Ascension,-7.95,-14.36
Second Voyage of the Beagle,8/2/1836,8/6/1836,"Bahia, Brazil",-38.48,-12.97
Second Voyage of the Beagle,8/13/1836,8/17/1836,"Pernambuco, Brazil",-33.7162,-5.9578
Second Voyage of the Beagle,8/31/1836,9/4/1836,"Porto Prayo, Santiago, Cape Verde",-23.62,15.09
Second Voyage of the Beagle,10/2/1836,10/5/1836,"Falmouth, England",-5.06627,50.152571
Second Voyage of the Beagle,10/6/1836,10/17/1836,"Plymouth, England",-4.14,50.38
Second Voyage of the Beagle,10/18/1836,11/6/1836,"Greenwich, England",-0.02,51.48
Barentsz' First Voyage,6/4/1594,6/4/1594,"Texel, the Netherlands",4.7977,53.0547
Barentsz' First Voyage,6/23/1594,6/23/1594,Kildin Island,34.35,69.32
Barentsz' First Voyage,7/31/1594,7/31/1594,Orange Islands,66.97,77.05
Barentsz' First Voyage,8/10/1594,8/10/1594,St Lawrence Bay,63.5,71.75
William Baffin's Second Voyage for the Company of Merchants of London,3/26/1616,3/26/1616,"Gravesend, England",0.37,51.45
William Baffin's Second Voyage for the Company of Merchants of London,5/30/1616,5/30/1616,Sandersons Hope,-56.0638,72.7038
William Baffin's Second Voyage for the Company of Merchants of London,7/2/1616,7/2/1616,"Cape Dudley Digges, Greenland",-68.78,76.16
William Baffin's Second Voyage for the Company of Merchants of London,7/3/1616,7/3/1616,Wolstenholme Sound,-69.0264,76.6392
William Baffin's Second Voyage for the Company of Merchants of London,7/5/1616,7/5/1616,Hakluyt Island,-72.67,77.43
William Baffin's Second Voyage for the Company of Merchants of London,7/10/1616,7/10/1616,Jones Sound,-86,76
William Baffin's Second Voyage for the Company of Merchants of London,7/12/1616,7/12/1616,Lancaster Sound,-84,74.21
William Baffin's Second Voyage for the Company of Merchants of London,7/19/1616,7/19/1616,"Desolation [Cape Farewell, Greenland]",-43.911667,59.779167
William Baffin's Second Voyage for the Company of Merchants of London,7/28/1616,7/28/1616,"Cockin Sound, Greenland",-42.0556,60.739
William Baffin's Second Voyage for the Company of Merchants of London,8/27/1616,8/27/1616,"Scilly Islands, England",-6.2965,49.9232
Lapérouse's Expedition to the Pacific,8/1/1785,8/1/1785,"Brest, France",-4.486,48.39
Lapérouse's Expedition to the Pacific,10/16/1785,10/16/1785,Ilha do Trinidade,-29.33,-20.51
Lapérouse's Expedition to the Pacific,11/7/1785,11/7/1785,"St Catherine's Island, Brazil",-48.4587,-27.5961
Lapérouse's Expedition to the Pacific,2/9/1786,2/9/1786,Straits of Magellan,-68.49,-52.51
Lapérouse's Expedition to the Pacific,2/22/1786,2/22/1786,"Mocha Island, Chile",-73.91,-38.37
Lapérouse's Expedition to the Pacific,4/8/1786,4/8/1786,Easter Island,-109.349687,-27.112723
Lapérouse's Expedition to the Pacific,5/30/1786,6/1/1786,"Maui, Sandwich Islands (Hawaii)",-156.33,20.8
Lapérouse's Expedition to the Pacific,7/3/1786,7/31/1786,Port des Français (Lituya Bay),-137.572,58.6391
Lapérouse's Expedition to the Pacific,8/5/1786,8/5/1786,Cape Cross (Alaska),-136.561389,57.917222
Lapérouse's Expedition to the Pacific,8/7/1786,8/7/1786,Cape Edgcumbe (Alaska),-135.834167,57.002778
Lapérouse's Expedition to the Pacific,8/25/1786,8/25/1786,Nootka,-124.63,48.46
Lapérouse's Expedition to the Pacific,9/14/1786,9/24/1786,"Monterey, California",-121.89,36.6
Lapérouse's Expedition to the Pacific,11/4/1786,11/4/1786,Necker Island (Hawaii),-164.7,23.58
Lapérouse's Expedition to the Pacific,12/28/1786,12/28/1786,Bashee Islands,145.3395,16.8944
Lapérouse's Expedition to the Pacific,1/3/1787,2/4/1787,Macao,113.54,22.2
Lapérouse's Expedition to the Pacific,2/28/1787,4/9/1787,"Manila, Philippines",120.96,14.6
Lapérouse's Expedition to the Pacific,5/21/1787,5/21/1787,"Quelpaert Island, Korea",126.4983,33.489
Lapérouse's Expedition to the Pacific,6/6/1787,6/6/1787,"Cape Noto, Japan",136.9333,37.35
Lapérouse's Expedition to the Pacific,7/24/1787,7/24/1787,Baie de Castries,140.588,47.9601
Lapérouse's Expedition to the Pacific,8/12/1787,8/12/1787,Strait of Lapérouse,142.9505,50.6909
Lapérouse's Expedition to the Pacific,9/8/1787,10/1/1787,"Petropavlovsk, Russia",158.6777,53.0409
Lapérouse's Expedition to the Pacific,12/6/1787,12/6/1787,Navigator Islands (Samoa),-172.04,-13.66
Lapérouse's Expedition to the Pacific,1/24/1788,3/10/1789,"Botany Bay, New South Wales, Australia",151.18,-34
Voyage of Jacob le Maire and Willem Schouten,6/14/1615,6/14/1615,"Texel, the Netherlands",4.7977,53.0547
Voyage of Jacob le Maire and Willem Schouten,6/17/1615,6/18/1615,"Dover, England",1.313403,51.127876
Voyage of Jacob le Maire and Willem Schouten,6/27/1615,6/28/1615,"Plymouth, England",-4.14,50.38
Voyage of Jacob le Maire and Willem Schouten,7/28/1615,7/28/1615,Cape Verde Islands,-23.0418,16.5388
Voyage of Jacob le Maire and Willem Schouten,8/30/1615,8/30/1615,Sierra Leone,-12.85,7.7
Voyage of Jacob le Maire and Willem Schouten,11/3/1615,11/3/1615,Martin Vaz Islands,-29.33,-20.51
Voyage of Jacob le Maire and Willem Schouten,12/7/1615,1/13/1616,"Port Desire, Rio de la Plata",-65.9,-47.75
Voyage of Jacob le Maire and Willem Schouten,1/25/1616,1/25/1616,Staten Island,-64.62,-54.82
Voyage of Jacob le Maire and Willem Schouten,3/1/1616,3/1/1616,Juan Fernández Islands,-80.78,-33.77
Voyage of Jacob le Maire and Willem Schouten,4/20/1616,4/20/1616,Cocos Eylet (Tafahi),-173.74913,-15.853538
Voyage of Jacob le Maire and Willem Schouten,4/21/1616,4/21/1616,Traitors Island (Niuatoputapu),-173.7783,-15.9566
Voyage of Jacob le Maire and Willem Schouten,4/24/1616,4/24/1616,Island of Good Hope (Niuafo'ou),-175.68,-15.61
Voyage of Jacob le Maire and Willem Schouten,4/28/1616,4/28/1616,Hoorn Islands,-178.06,-14.32
Voyage of Jacob le Maire and Willem Schouten,7/21/1616,7/24/1616,Schouten Islands,136.0328,-0.4668
Voyage of Jacob le Maire and Willem Schouten,9/8/1616,9/12/1616,Ternate,127.361,0.7958
Nansen's Fram Expedition,6/24/1893,6/24/1893,"Christiana, Norway",10.752245,59.913869
Nansen's Fram Expedition,7/1/1893,7/2/1893,"Bergen, Norway",5.3221,60.3913
Nansen's Fram Expedition,7/5/1893,7/6/1893,"Trondheim, Norway",10.395,63.4305
Nansen's Fram Expedition,7/12/1893,7/20/1893,"Tromsø, Norway",18.9553,69.6492
Nansen's Fram Expedition,8/18/1893,8/18/1893,Sverdrup Island,79.45,74.58
Nansen's Fram Expedition,9/10/1893,9/10/1893,"Cape Chelyuskin, Russia",104.258055,77.721111
Nansen's Fram Expedition,10/5/1893,10/5/1893,"(Stuck in ice, 5 October)",132.88,78.82
Nansen's Fram Expedition,11/8/1893,11/8/1893,"(Stuck in ice, 8 November)",138.13,77.72
Nansen's Fram Expedition,11/19/1893,11/19/1893,"(Stuck in ice, 19 November)",139.38,78.45
Nansen's Fram Expedition,12/9/1893,12/9/1893,"(Stuck in ice, 9 December)",139.23,79
Nansen's Fram Expedition,1/14/1894,1/14/1894,"(Stuck in ice, 14 January)",137.52,79.31
Nansen's Fram Expedition,1/23/1894,1/23/1894,"(Stuck in ice, 23 January)",135.48,79.68
Nansen's Fram Expedition,2/2/1894,2/2/1894,"(Stuck in ice, 2 February)",132.17,80.17
Nansen's Fram Expedition,2/24/1894,2/24/1894,"(Stuck in ice, 24 February)",132.95,79.9
Nansen's Fram Expedition,5/8/1894,5/8/1894,"(Stuck in ice, 8 May)",129.97,80.92
Nansen's Fram Expedition,5/21/1894,5/21/1894,"(Stuck in ice, 21 May)",125.75,81.33
Nansen's Fram Expedition,6/2/1894,6/2/1894,"(Stuck in ice, 2 June)",121.78,81.52
Nansen's Fram Expedition,7/31/1894,7/31/1894,"(Stuck in ice, 31 July)",126.08,81.03
Nansen's Fram Expedition,9/5/1894,9/5/1894,"(Stuck in ice, 5 September)",123.6,81.23
Nansen's Fram Expedition,10/13/1894,10/13/1894,"(Stuck in ice, 13 October)",118.47,81.54
Nansen's Fram Expedition,10/31/1894,10/31/1894,"(Stuck in ice, 31 October)",114.15,82
Nansen's Fram Expedition,1/6/1895,1/6/1895,"(Stuck in ice, 6 January)",102.85,83.57
Nansen's Fram Expedition,3/13/1895,3/13/1895,"(Stuck in ice, 13 March)",101.92,84
Nansen's Fram Expedition,4/4/1895,4/4/1895,"(Stuck in ice, 4 April)",98.78,86.05
Nansen's Fram Expedition,8/14/1896,8/15/1896,"Danskøya, Svalbad",10.933333,79.7
Nansen's Fram Expedition (Nansen and Johansen),4/4/1895,4/4/1895,(Nansen and Johansen travelling by dog sled),98.78,86.05
Nansen's Fram Expedition (Nansen and Johansen),4/18/1895,4/18/1895,(Nansen and Johansen travelling by dog sled),79.43,85.63
Nansen's Fram Expedition (Nansen and Johansen),5/5/1895,5/5/1895,(Nansen and Johansen travelling by dog sled),66.25,84.52
Nansen's Fram Expedition (Nansen and Johansen),5/13/1895,5/13/1895,(Nansen and Johansen travelling by dog sled),59.91,83.6
Nansen's Fram Expedition (Nansen and Johansen),5/26/1895,5/26/1895,(Nansen and Johansen travelling by dog sled),61.45,82.67
Nansen's Fram Expedition (Nansen and Johansen),8/10/1895,8/10/1895,"Hvidtenland, Franz Josef Land",63.1,81.63
Nansen's Fram Expedition (Nansen and Johansen),8/28/1895,5/19/1896,"Jackson Island, Franz Josef Land",56.63,81.23
Nansen's Fram Expedition (Nansen and Johansen),6/17/1896,6/17/1896,"Cape Flora, Northbrook Island",50.089722,79.947778
Ross' Second Arctic Expedition,5/22/1829,5/23/1829,"London, England",0.06,51.5
Ross' Second Arctic Expedition,6/12/1829,6/13/1829,Loch Ryan,-5.03,54.97
Ross' Second Arctic Expedition,7/5/1829,7/6/1829,Enter Davis Strait,-44.5708,59.4304
Ross' Second Arctic Expedition,7/23/1829,7/26/1829,"Holsteinborg, Greenland",-53.67,66.94
Ross' Second Arctic Expedition,7/28/1829,7/29/1829,"Disko Island, Greenland (West)",-55.45,70.12
Ross' Second Arctic Expedition,8/3/1829,8/4/1829,Furthest North reached,-68.13,74.14
Ross' Second Arctic Expedition,8/9/1829,8/10/1829,Lancaster Sound,-77,74.0167
Ross' Second Arctic Expedition,8/13/1829,8/15/1829,Fury Beach,-91.9,72.8
Ross' Second Arctic Expedition,9/6/1829,9/7/1829,Elizabeth Harbour,-92.2499,70.5999
Ross' Second Arctic Expedition,9/30/1829,4/5/1830,Felix Harbour,-92.21,70.2
Ross' Second Arctic Expedition,4/8/1830,4/8/1830,West side of Boothia Peninsular,-94.5,69
Ross' Second Arctic Expedition,4/10/1830,5/17/1830,Felix Harbour,-92.21,70.2
Ross' Second Arctic Expedition,5/23/1830,5/24/1830,Matty Island,-95.47,69.46
Ross' Second Arctic Expedition,5/25/1830,5/26/1830,Tennent Islands,-96.5,69.5
Ross' Second Arctic Expedition,5/29/1830,5/30/1830,Cape Felix,-98.55,69.77
Ross' Second Arctic Expedition,6/13/1830,9/17/1830,Felix Harbour,-92.21,70.2
Ross' Second Arctic Expedition,9/30/1830,5/27/1831,Sheriff Bay,-91,70.6666
Ross' Second Arctic Expedition,6/1/1831,6/2/1831,Magnetic North Pole,-96.7792,70.0881
Ross' Second Arctic Expedition,6/13/1831,8/28/1831,Sheriff Bay,-91,70.6666
Ross' Second Arctic Expedition,7/1/1832,8/1/1832,Fury Beach [ship abandoned en route],-91.9,72.8
Ross' Second Arctic Expedition,9/20/1832,9/20/1832,Barrow Strait,-90.1225,73.7905
Ross' Second Arctic Expedition,9/30/1832,9/30/1832,Batty Bay - abandon boats,-91.4166,73.233
Ross' Second Arctic Expedition,10/7/1832,7/8/1833,Fury Beach,-91.9,72.8
Ross' Second Arctic Expedition,7/12/1833,8/15/1833,Batty Bay - sail in abandoned boats,-91.4166,73.233
Ross' Second Arctic Expedition,8/25/1833,8/26/1833,Navy-Board Inlet [join HMS Isabella],-81.078775,73.370582
Henry Hudson's 1610-1611 Voyage,4/17/1610,4/17/1610,"Gravesend, England",0.37,51.45
Henry Hudson's 1610-1611 Voyage,5/15/1610,6/1/1610,Iceland,-18.14,63.43
Henry Hudson's 1610-1611 Voyage,6/4/1610,6/8/1610,Greenland (Groneland),-36.8432,65.5671
Henry Hudson's 1610-1611 Voyage,6/15/1610,6/20/1610,"Desolation [Cape Farewell, Greenland]",-43.911667,59.779167
Henry Hudson's 1610-1611 Voyage,6/24/1610,6/28/1610,Resolution Island,-64.947507,61.508673
Henry Hudson's 1610-1611 Voyage,7/5/1610,7/8/1610,Ungava Bay,-67.7242,59.8067
Henry Hudson's 1610-1611 Voyage,7/11/1610,7/14/1610,God’s Mercy [Saddleback Islands],-67.9,62.15
Henry Hudson's 1610-1611 Voyage,7/16/1610,7/24/1610,Ungava Bay,-67.7242,59.8067
Henry Hudson's 1610-1611 Voyage,8/3/1610,8/4/1610,Cape Wolstenholme and Cape Diggs [Digges Island],-77.641068,62.555215
Henry Hudson's 1610-1611 Voyage,8/5/1610,8/6/1610,Enters Hudson Bay,-85,60
Henry Hudson's 1610-1611 Voyage,11/3/1610,6/22/1611,James Bay,-80.58,53.08
Henry Hudson's 1610-1611 Voyage,7/25/1611,7/29/1611,Cape Wolstenholme and Cape Diggs [Digges Island],-77.641068,62.555215
Amundsen's Northwest Passage Expedition,6/16/1903,6/16/1903,"Christiana, Norway",10.752245,59.913869
Amundsen's Northwest Passage Expedition,6/25/1903,6/25/1903,"Fair Isle, Scotland, United Kingdom",-1.633296,59.5339
Amundsen's Northwest Passage Expedition,7/11/1903,7/11/1903,Cape Farewell,-43.911667,59.779167
Amundsen's Northwest Passage Expedition,7/24/1903,7/31/1903,"Godhavn, Greenland",-53.54,69.25
Amundsen's Northwest Passage Expedition,8/14/1903,8/14/1903,Melville Bay,-60.46,75.67
Amundsen's Northwest Passage Expedition,8/20/1903,8/20/1903,Lancaster Sound,-84,74.21
Amundsen's Northwest Passage Expedition,8/22/1903,8/24/1903,Beechey Island,-91.8,74.71
Amundsen's Northwest Passage Expedition,8/25/1903,8/25/1903,De la Roquette Islands,-95.462403,72.166666
Amundsen's Northwest Passage Expedition,8/31/1903,9/1/1903,Beaufort Islands,-97.39,69.93
Amundsen's Northwest Passage Expedition,9/12/1903,8/12/1905,Gjøahavn (Gjoa Haven),-95.88,68.62
Amundsen's Northwest Passage Expedition,8/14/1905,8/15/1905,Douglas Bay,-97.0507,68.551
Amundsen's Northwest Passage Expedition,8/17/1905,8/17/1905,Cape Colborne,-105.166667,68.966667
Amundsen's Northwest Passage Expedition,8/20/1905,8/21/1905,Douglas Island,-113.4833,68.4666
Amundsen's Northwest Passage Expedition,8/26/1905,8/26/1905,"Nelson Head, Baring Land",-122.77,71.07
Amundsen's Northwest Passage Expedition,8/28/1905,8/28/1905,Franklin Bay,-125.691167,69.635723
Amundsen's Northwest Passage Expedition,9/3/1905,10/24/1905,King Point,-137.97,69.1
Amundsen's Northwest Passage Expedition,11/20/1905,11/20/1905,Fort Yukon,-145.25134,66.56735
Amundsen's Northwest Passage Expedition,11/26/1905,11/26/1905,Circle City,-144.060556,65.825556
Amundsen's Northwest Passage Expedition,12/5/1905,3/2/1906,Eagle City,-141.2,64.788056
Amundsen's Northwest Passage Expedition,3/12/1906,4/8/1906,King Point,-137.97,69.1
Amundsen's Northwest Passage Expedition,8/14/1906,8/14/1906,Manning Point,-143.5,70.118
Amundsen's Northwest Passage Expedition,8/15/1906,8/15/1906,Cross Island,-147.964952,70.495813
William Parry’s Attempt at the North Pole,4/4/1827,4/4/1827,"The Nore, England",0.6421,51.5771
William Parry’s Attempt at the North Pole,4/19/1827,4/29/1827,"Hammerfest, Norway",23.68,70.66
William Parry’s Attempt at the North Pole,5/14/1827,5/14/1827,Hakluyt's Headland,10.91,79.83
William Parry’s Attempt at the North Pole,6/4/1827,6/4/1827,"Grey Hook, Norway",14.54,79.8
William Parry’s Attempt at the North Pole,6/17/1827,6/17/1827,"Little Table Island, Spitzbergen, Norway",20.36,80.82
William Parry’s Attempt at the North Pole,7/12/1827,7/12/1827,(Travelling on ice),22.07,82.24
William Parry’s Attempt at the North Pole,7/16/1827,7/16/1827,(Travelling on ice),20.54,82.45
William Parry’s Attempt at the North Pole,7/27/1827,7/27/1827,(Travelling on ice),19.42,82.67
William Parry’s Attempt at the North Pole,7/31/1827,7/31/1827,(Travelling on ice),17.31,82.24
William Parry’s Attempt at the North Pole,8/2/1827,8/2/1827,(Travelling on ice),17.76,82.1
William Parry’s Attempt at the North Pole,8/21/1827,8/28/1827,"Spitzbergen, Norway",20.9751,77.8749
William Parry’s Attempt at the North Pole,9/23/1827,9/27/1827,Orkney Islands,-3.2,58.8
William Parry’s Attempt at the North Pole,9/28/1827,9/28/1827,"Yarmouth, England",1.728,52.5982
First Russian Antarctic Expedition,7/16/1819,7/16/1819,"Kronstadt, Russia",29.75,59.99
First Russian Antarctic Expedition,8/1/1819,8/1/1819,"Copenhagen, Denmark",12.568337,55.676097
First Russian Antarctic Expedition,8/11/1819,9/5/1819,"Portsmouth, England",-1.09,50.82
First Russian Antarctic Expedition,11/14/1819,12/4/1819,"Rio de Janeiro, Brazil",-43.17,-22.91
First Russian Antarctic Expedition,12/27/1819,12/27/1819,South Georgia,-36.5879,-54.4295
First Russian Antarctic Expedition,1/8/1820,1/8/1820,"Candlemas Islands, Sandwich Land",-26.723571,-57.091125
First Russian Antarctic Expedition,1/16/1820,1/16/1820,Bellingshausen Ice Shelf,2.25,-69.36
First Russian Antarctic Expedition,2/19/1820,2/19/1820,(Pack ice),16.62,-68.08
First Russian Antarctic Expedition,4/20/1820,11/1/1820,"Sydney, New South Wales",151.2092,-33.8688
First Russian Antarctic Expedition,11/25/1820,11/25/1820,Macquarie Island,158.86,-54.62
First Russian Antarctic Expedition,1/21/1821,1/21/1821,Peter I Island,-90.58,-68.85
First Russian Antarctic Expedition,1/28/1821,1/28/1821,Alexander Coast (Alexander Island),-69.8869,-71.4607
First Russian Antarctic Expedition,1/29/1821,1/29/1821,Elephant Island,-55.140223,-61.112582
First Russian Antarctic Expedition,3/25/1821,4/28/1821,"Rio de Janeiro, Brazil",-43.17,-22.91
First Russian Antarctic Expedition,6/29/1821,6/29/1821,"Lisbon, Portugal",-9.14,38.72
First Russian Antarctic Expedition,7/1/1821,7/1/1821,Cape Finisterre,-9.4283,43.0554
First Russian Antarctic Expedition,7/1/1821,7/1/1821,Cape Finisterre,-9.4283,43.0554
Vega Expedition,6/22/1878,6/22/1878,"Karlskrona, Sweden",15.59,56.15
Vega Expedition,6/24/1878,6/25/1878,"Copenhagen, Denmark",12.568337,55.676097
Vega Expedition,6/27/1878,7/4/1878,"Gothenburg, Sweden",11.96,57.71
Vega Expedition,7/17/1878,7/21/1878,"Tromsø, Norway",18.9553,69.6492
Vega Expedition,7/28/1878,7/28/1878,"Gooseland (Gusinaya Zemlya), Russia",51.98,71.78
Vega Expedition,7/30/1878,7/30/1878,"Chabarova, Novaya Zemlya, Russia",56,74
Vega Expedition,8/6/1878,8/10/1878,"Port Dickson, Russia",80.5809,73.5048
Vega Expedition,8/19/1878,8/19/1878,"Cape Chelyuskin, Russia",104.258055,77.721111
Vega Expedition,8/24/1878,8/24/1878,"Preobrazhenie Island, Russia",95.988,76.225
Vega Expedition,8/27/1878,8/27/1878,Lena Delta,129.66,72.33
Vega Expedition,9/28/1878,7/18/1879,"Stuck in ice, Pitlekaj, Russia",-173.386,67.07679
Vega Expedition,7/22/1879,7/26/1879,"Port Clarence, Alaska",-166.8458,65.2622
Vega Expedition,7/31/1879,8/2/1879,St Lawrence Island,-170.31,63.24
Vega Expedition,8/7/1879,8/14/1879,Bering Island,166.2776,55.0078
Vega Expedition,9/2/1879,10/11/1879,"Yokohama, Japan",139.638,35.4437
Vega Expedition,10/14/1879,10/18/1879,"Kobe, Japan",135.22,34.68
Vega Expedition,10/21/1879,10/25/1879,"Nagasaki, Japan",129.87,32.75
Vega Expedition,11/2/1879,11/9/1879,Hong Kong,114.18,22.28
Vega Expedition,11/17/1879,11/21/1879,Labuan,115.23,5.31
Vega Expedition,11/28/1879,12/4/1879,Singapore,103.8198,1.352
Vega Expedition,12/15/1879,12/22/1879,"Galle, Ceylon",80.22,6.03
Vega Expedition,1/7/1880,1/9/1880,Aden,45.0187,12.7855
Vega Expedition,1/27/1880,2/3/1880,"Suez, Egypt",32.5498,29.9668
Vega Expedition,2/14/1880,2/29/1880,"Naples, Italy",14.27,40.84
Vega Expedition,3/11/1880,3/16/1880,"Lisbon, Portugal",-9.14,38.72
Vega Expedition,3/25/1880,4/5/1880,"Falmouth, England",-5.06627,50.152571
Vega Expedition,4/8/1880,4/10/1880,"Vlissingen, the Netherlands",3.5709,51.4536
Vega Expedition,4/16/1880,4/20/1880,"Copenhagen, Denmark",12.568337,55.676097
First voyage of the Astrolabe under Dumont d'Urville,4/22/1826,4/22/1826,"Toulon, France",5.928,43.1242
First voyage of the Astrolabe under Dumont d'Urville,8/1/1826,8/1/1826,Ilha do Trinidade,-29.33,-20.51
First voyage of the Astrolabe under Dumont d'Urville,9/21/1826,9/21/1826,Île Saint-Paul,77.52,-38.73
First voyage of the Astrolabe under Dumont d'Urville,10/7/1826,10/25/1826,"King George Sound, Western Australia",117.93,-35.03
First voyage of the Astrolabe under Dumont d'Urville,11/12/1826,11/19/1826,Port Western,145.248,-38.3563
First voyage of the Astrolabe under Dumont d'Urville,12/2/1826,12/18/1826,"Port Jackson, New South Wales",151.2335,-33.8442
First voyage of the Astrolabe under Dumont d'Urville,1/11/1827,1/11/1827,"Cape Foulwind, New Zealand",171.466667,-41.75
First voyage of the Astrolabe under Dumont d'Urville,4/20/1827,5/20/1827,Tongatapu,175.09,-21.14
First voyage of the Astrolabe under Dumont d'Urville,6/5/1827,6/5/1827,D'Urville Channel,178.5333,-18.6833
First voyage of the Astrolabe under Dumont d'Urville,6/15/1827,6/15/1827,Loyalty Islands,167.39,-20.81
First voyage of the Astrolabe under Dumont d'Urville,6/29/1827,6/29/1827,Louisiades,152.54,-10.96
First voyage of the Astrolabe under Dumont d'Urville,7/5/1827,7/5/1827,New Ireland,152.5,-4
