City of Publication,City of Origin,Weight,Years
New London,Amiens,1,1784
"Alexandria, VA",Amsterdam,1,1804
Baltimore,Amsterdam,2,1789
Boston,Amsterdam,7,1759
Boston,Amsterdam,5,1764
Boston,Amsterdam,4,1784
Boston,Amsterdam,4,1789
Boston,Amsterdam,1,1799
"Burlington, Vermont",Amsterdam,1,1784
Charleston,Amsterdam,4,1789
Charleston,Amsterdam,1,1804
Concord,Amsterdam,1,1799
District of Columbia,Amsterdam,1,1804
Hartford,Amsterdam,2,1799
Litchfield,Amsterdam,1,1799
Middletown,Amsterdam,1,1799
New Bedford,Amsterdam,1,1799
New London,Amsterdam,1,1764
New York City,Amsterdam,4,1759
New York City,Amsterdam,1,1764
New York City,Amsterdam,1,1789
New York City,Amsterdam,5,1804
Newport,Amsterdam,1,1764
Newport,Amsterdam,1,1784
Newport,Amsterdam,1,1799
"Norwich, CT",Amsterdam,1,1784
"Otsego, NY",Amsterdam,1,1799
Philadelphia,Amsterdam,3,1759
Philadelphia,Amsterdam,2,1784
Philadelphia,Amsterdam,2,1789
Philadelphia,Amsterdam,2,1799
"Portland, ME",Amsterdam,1,1799
"Portsmouth, NH",Amsterdam,1,1759
"Portsmouth, NH",Amsterdam,3,1789
"Portsmouth, NH",Amsterdam,2,1799
Providence,Amsterdam,1,1764
Providence,Amsterdam,1,1784
Providence,Amsterdam,1,1789
"Richmond, VA",Amsterdam,1,1804
"Rutland, Vermont",Amsterdam,1,1799
Salem,Amsterdam,1,1799
"Windham, MA",Amsterdam,2,1799
Baltimore,Antigua,1,1779
Baltimore,Antigua,1,1804
Boston,Antigua,5,1759
Boston,Antigua,2,1764
Boston,Antigua,3,1769
Boston,Antigua,6,1779
Boston,Antigua,11,1784
Boston,Antigua,2,1804
"Burlington, Vermont",Antigua,4,1784
Charleston,Antigua,1,1789
Charleston,Antigua,2,1799
District of Columbia,Antigua,4,1804
Harrisburg,Antigua,1,1804
Hartford,Antigua,1,1769
Hartford,Antigua,2,1784
New Haven,Antigua,3,1779
New Haven,Antigua,1,1784
New Haven,Antigua,1,1804
New London,Antigua,1,1764
New London,Antigua,1,1779
New London,Antigua,5,1784
New York City,Antigua,3,1759
New York City,Antigua,2,1764
New York City,Antigua,3,1769
New York City,Antigua,2,1779
New York City,Antigua,13,1784
New York City,Antigua,3,1789
New York City,Antigua,3,1794
New York City,Antigua,1,1799
New York City,Antigua,9,1804
Newport,Antigua,1,1764
Newport,Antigua,1,1769
Newport,Antigua,3,1784
"Norwich, CT",Antigua,1,1779
"Norwich, CT",Antigua,4,1784
"Norwich, CT",Antigua,1,1789
Philadelphia,Antigua,4,1759
Philadelphia,Antigua,1,1764
Philadelphia,Antigua,4,1784
Philadelphia,Antigua,4,1789
Philadelphia,Antigua,1,1799
Philadelphia,Antigua,2,1804
"Portsmouth, NH",Antigua,2,1779
"Portsmouth, NH",Antigua,2,1784
"Portsmouth, NH",Antigua,1,1789
Providence,Antigua,1,1769
Providence,Antigua,2,1779
Providence,Antigua,3,1784
Salem,Antigua,1,1784
Savannah,Antigua,1,1769
Williamsburg,Antigua,1,1779
"Alexandria, VA",Bahamas,1,1804
Baltimore,Bahamas,7,1789
Baltimore,Bahamas,1,1794
Baltimore,Bahamas,1,1804
Bennington,Bahamas,1,1789
Boston,Bahamas,3,1789
Carlisle,Bahamas,1,1789
Charleston,Bahamas,7,1789
Charleston,Bahamas,1,1794
Charleston,Bahamas,1,1799
Charleston,Bahamas,4,1804
District of Columbia,Bahamas,1,1804
Easton,Bahamas,2,1804
Hartford,Bahamas,1,1799
Hartford,Bahamas,1,1804
Litchfield,Bahamas,1,1789
New Haven,Bahamas,1,1789
New London,Bahamas,2,1789
New London,Bahamas,1,1804
New York City,Bahamas,1,1789
New York City,Bahamas,2,1794
New York City,Bahamas,6,1799
New York City,Bahamas,8,1804
Newburyport,Bahamas,1,1804
"Norwich, CT",Bahamas,1,1804
Philadelphia,Bahamas,6,1789
Philadelphia,Bahamas,4,1799
Philadelphia,Bahamas,3,1804
"Portland, ME",Bahamas,1,1804
"Portsmouth, NH",Bahamas,1,1789
"Portsmouth, NH",Bahamas,1,1804
Providence,Bahamas,1,1789
Providence,Bahamas,1,1794
Providence,Bahamas,1,1799
Providence,Bahamas,1,1804
Savannah,Bahamas,1,1799
"Windham, MA",Bahamas,1,1799
"Windham, MA",Bahamas,1,1804
"Worcester, MA",Bahamas,1,1799
"Albany, NY",Barbados,1,1804
"Alexandria, VA",Barbados,1,1804
Baltimore,Barbados,1,1784
Boston,Barbados,1,1759
Boston,Barbados,3,1764
Boston,Barbados,1,1769
Boston,Barbados,2,1784
Boston,Barbados,1,1789
Boston,Barbados,2,1799
Carlisle,Barbados,1,1804
"Greenfield, MA",Barbados,1,1804
Hartford,Barbados,3,1799
Litchfield,Barbados,1,1789
Litchfield,Barbados,1,1799
Middletown,Barbados,2,1799
New Haven,Barbados,1,1799
New Haven,Barbados,1,1804
New London,Barbados,1,1784
New London,Barbados,1,1799
New London,Barbados,1,1804
New York City,Barbados,3,1759
New York City,Barbados,1,1764
New York City,Barbados,1,1779
New York City,Barbados,2,1789
New York City,Barbados,3,1794
New York City,Barbados,2,1804
Newport,Barbados,1,1799
"Norwich, CT",Barbados,1,1799
Philadelphia,Barbados,1,1759
Philadelphia,Barbados,1,1779
Philadelphia,Barbados,3,1784
Philadelphia,Barbados,2,1789
Philadelphia,Barbados,1,1794
Philadelphia,Barbados,4,1799
Philadelphia,Barbados,2,1804
"Portsmouth, NH",Barbados,1,1759
"Portsmouth, NH",Barbados,1,1764
"Portsmouth, NH",Barbados,1,1799
Providence,Barbados,1,1784
Providence,Barbados,2,1799
"Rutland, Vermont",Barbados,1,1799
Salem,Barbados,1,1784
Savannah,Barbados,1,1799
"Windsor, VT",Barbados,2,1799
"Worcester, MA",Barbados,1,1799
Boston,"Bath, England",1,1764
Boston,"Bath, England",1,1784
Newport,"Bath, England",1,1774
Newport,"Bath, England",1,1784
Philadelphia,"Bath, England",1,1774
Providence,"Bath, England",1,1769
Providence,"Bath, England",1,1784
Williamsburg,"Bath, England",2,1774
"Albany, NY","Belfast, Northern Ireland",2,1794
Baltimore,"Belfast, Northern Ireland",1,1784
Bennington,"Belfast, Northern Ireland",1,1794
Boston,"Belfast, Northern Ireland",1,1769
Boston,"Belfast, Northern Ireland",2,1784
Boston,"Belfast, Northern Ireland",1,1794
Boston,"Belfast, Northern Ireland",1,1799
Carlisle,"Belfast, Northern Ireland",1,1799
Charleston,"Belfast, Northern Ireland",2,1794
Charleston,"Belfast, Northern Ireland",3,1799
New Haven,"Belfast, Northern Ireland",1,1789
New York City,"Belfast, Northern Ireland",1,1759
New York City,"Belfast, Northern Ireland",1,1769
New York City,"Belfast, Northern Ireland",2,1784
New York City,"Belfast, Northern Ireland",1,1789
New York City,"Belfast, Northern Ireland",6,1799
Newport,"Belfast, Northern Ireland",1,1789
"Norwich, CT","Belfast, Northern Ireland",1,1784
"Norwich, CT","Belfast, Northern Ireland",1,1799
Philadelphia,"Belfast, Northern Ireland",2,1784
Philadelphia,"Belfast, Northern Ireland",3,1789
Philadelphia,"Belfast, Northern Ireland",4,1794
Philadelphia,"Belfast, Northern Ireland",13,1799
"Portland, ME","Belfast, Northern Ireland",2,1799
Salem,"Belfast, Northern Ireland",1,1789
Salem,"Belfast, Northern Ireland",4,1799
"Windsor, VT","Belfast, Northern Ireland",1,1789
Baltimore,"Bengal, India",1,1794
Bennington,"Bengal, India",1,1794
Boston,"Bengal, India",1,1794
"Burlington, Vermont","Bengal, India",1,1784
"Burlington, Vermont","Bengal, India",1,1804
Charleston,"Bengal, India",1,1789
Charleston,"Bengal, India",4,1794
Keene,"Bengal, India",1,1804
New London,"Bengal, India",3,1794
New York City,"Bengal, India",1,1789
New York City,"Bengal, India",8,1794
New York City,"Bengal, India",2,1804
"Norwich, CT","Bengal, India",3,1794
Philadelphia,"Bengal, India",1,1784
Philadelphia,"Bengal, India",2,1789
Philadelphia,"Bengal, India",7,1794
Philadelphia,"Bengal, India",1,1804
Providence,"Bengal, India",1,1784
Salem,"Bengal, India",1,1794
Springfield,"Bengal, India",1,1804
"Windsor, VT","Bengal, India",1,1794
Boston,"Berlin, Germany",1,1759
"Elizabethtown, NJ","Berlin, Germany",1,1799
New York City,"Berlin, Germany",4,1759
Philadelphia,"Berlin, Germany",3,1794
Philadelphia,"Berlin, Germany",2,1799
"Portsmouth, NH","Berlin, Germany",1,1759
"Albany, NY",Bermuda,1,1804
"Alexandria, VA",Bermuda,2,1804
Baltimore,Bermuda,1,1789
Bennington,Bermuda,1,1804
Boston,Bermuda,2,1799
"Burlington, Vermont",Bermuda,1,1804
Charleston,Bermuda,3,1789
Charleston,Bermuda,1,1794
Concord,Bermuda,1,1799
District of Columbia,Bermuda,1,1804
Hagerstown,Bermuda,1,1804
Middletown,Bermuda,1,1804
New London,Bermuda,1,1789
New York City,Bermuda,3,1789
New York City,Bermuda,1,1794
New York City,Bermuda,1,1799
New York City,Bermuda,4,1804
Philadelphia,Bermuda,1,1784
Philadelphia,Bermuda,2,1794
Philadelphia,Bermuda,3,1799
Philadelphia,Bermuda,3,1804
"Portland, ME",Bermuda,1,1799
"Portsmouth, NH",Bermuda,1,1799
"Richmond, VA",Bermuda,1,1804
"Alexandria, VA","Bombay, India",1,1804
Boston,"Bombay, India",1,1794
Boston,"Bombay, India",5,1799
Charleston,"Bombay, India",2,1794
Charleston,"Bombay, India",2,1799
"Elizabethtown, NJ","Bombay, India",1,1799
Hartford,"Bombay, India",1,1799
Hartford,"Bombay, India",1,1804
Litchfield,"Bombay, India",1,1794
Litchfield,"Bombay, India",1,1799
New Haven,"Bombay, India",1,1799
New York City,"Bombay, India",5,1794
New York City,"Bombay, India",10,1799
New York City,"Bombay, India",4,1804
"Norwich, CT","Bombay, India",1,1799
"Otsego, NY","Bombay, India",1,1799
Philadelphia,"Bombay, India",2,1794
Philadelphia,"Bombay, India",11,1799
Philadelphia,"Bombay, India",2,1804
Providence,"Bombay, India",1,1799
"Richmond, VA","Bombay, India",1,1799
"Rutland, Vermont","Bombay, India",1,1799
Salem,"Bombay, India",1,1799
"Windham, MA","Bombay, India",1,1799
"Windham, MA","Bombay, India",1,1804
"Worcester, MA","Bombay, India",1,1799
"Albany, NY",Bordeaux,3,1804
"Alexandria, VA",Bordeaux,3,1804
Bennington,Bordeaux,1,1804
Boston,Bordeaux,2,1799
Boston,Bordeaux,2,1804
"Burlington, Vermont",Bordeaux,1,1804
Carlisle,Bordeaux,1,1799
Carlisle,Bordeaux,1,1804
Charleston,Bordeaux,1,1799
Charleston,Bordeaux,3,1804
Concord,Bordeaux,1,1799
Dedham,Bordeaux,3,1804
District of Columbia,Bordeaux,3,1804
Easton,Bordeaux,1,1804
"Elizabethtown, NJ",Bordeaux,1,1799
"Elizabethtown, NJ",Bordeaux,2,1804
Harrisburg,Bordeaux,2,1804
Hartford,Bordeaux,3,1799
Hartford,Bordeaux,2,1804
Litchfield,Bordeaux,1,1794
Litchfield,Bordeaux,1,1799
Middletown,Bordeaux,1,1804
New Bedford,Bordeaux,1,1799
New Haven,Bordeaux,2,1799
New York City,Bordeaux,5,1799
New York City,Bordeaux,14,1804
"Norwich, CT",Bordeaux,1,1804
"Otsego, NY",Bordeaux,2,1804
Peacham,Bordeaux,2,1804
Philadelphia,Bordeaux,8,1799
Philadelphia,Bordeaux,4,1804
"Portsmouth, NH",Bordeaux,1,1799
Salem,Bordeaux,2,1799
Salem,Bordeaux,1,1804
Walpole,Bordeaux,2,1804
"Windham, MA",Bordeaux,2,1804
"Windsor, VT",Bordeaux,1,1799
New York City,Brest,1,1799
Baltimore,Bristol,1,1779
Bennington,Bristol,1,1789
Boston,Bristol,3,1759
Boston,Bristol,7,1764
Boston,Bristol,4,1769
Boston,Bristol,1,1774
Boston,Bristol,2,1779
Boston,Bristol,1,1784
Boston,Bristol,1,1789
Boston,Bristol,1,1799
Charleston,Bristol,1,1794
Charleston,Bristol,1,1799
Hartford,Bristol,1,1799
Litchfield,Bristol,1,1794
Middletown,Bristol,1,1789
New Bedford,Bristol,1,1799
New Haven,Bristol,1,1779
New Haven,Bristol,1,1789
New London,Bristol,1,1784
New York City,Bristol,1,1759
New York City,Bristol,4,1789
New York City,Bristol,3,1794
New York City,Bristol,3,1799
Newport,Bristol,1,1799
"Norwich, CT",Bristol,1,1789
Philadelphia,Bristol,2,1774
Philadelphia,Bristol,3,1779
Philadelphia,Bristol,1,1784
Philadelphia,Bristol,2,1789
Philadelphia,Bristol,1,1794
Philadelphia,Bristol,6,1799
"Portsmouth, NH",Bristol,1,1759
"Portsmouth, NH",Bristol,1,1779
"Portsmouth, NH",Bristol,1,1789
Providence,Bristol,1,1784
Providence,Bristol,1,1789
Providence,Bristol,1,1794
Salem,Bristol,1,1784
Williamsburg,Bristol,1,1769
"Albany, NY",Brussels,4,1794
Baltimore,Brussels,3,1794
Boston,Brussels,7,1759
Boston,Brussels,16,1764
Boston,Brussels,1,1789
Boston,Brussels,3,1794
Boston,Brussels,1,1799
Carlisle,Brussels,1,1794
Charleston,Brussels,1,1789
Charleston,Brussels,5,1794
Hartford,Brussels,4,1794
Hartford,Brussels,1,1799
Litchfield,Brussels,2,1794
Middletown,Brussels,4,1794
Middletown,Brussels,1,1799
New Haven,Brussels,1,1794
New Haven,Brussels,1,1799
New London,Brussels,1,1794
New London,Brussels,1,1799
New York City,Brussels,4,1759
New York City,Brussels,3,1764
New York City,Brussels,1,1769
New York City,Brussels,11,1794
New York City,Brussels,3,1799
Newport,Brussels,2,1764
"Norwich, CT",Brussels,1,1789
"Norwich, CT",Brussels,1,1794
"Otsego, NY",Brussels,1,1799
Philadelphia,Brussels,2,1759
Philadelphia,Brussels,1,1789
Philadelphia,Brussels,18,1794
Philadelphia,Brussels,3,1799
"Portsmouth, NH",Brussels,1,1759
"Portsmouth, NH",Brussels,3,1764
"Portsmouth, NH",Brussels,2,1794
Providence,Brussels,1,1764
Salem,Brussels,2,1794
"Stockbridge, MA",Brussels,2,1794
"Windham, MA",Brussels,1,1799
"Windsor, VT",Brussels,1,1794
New York City,Cadiz,1,1784
Philadelphia,Cadiz,1,1784
Bennington,"Cairo, Egypt",1,1799
Boston,"Cairo, Egypt",1,1799
Charleston,"Cairo, Egypt",3,1799
New Bedford,"Cairo, Egypt",1,1799
New York City,"Cairo, Egypt",1,1799
Philadelphia,"Cairo, Egypt",1,1799
"Portland, ME","Cairo, Egypt",2,1799
"Portsmouth, NH","Cairo, Egypt",1,1799
"Windsor, VT","Cairo, Egypt",2,1799
"Albany, NY",Calcutta,2,1804
"Alexandria, VA",Calcutta,5,1804
Baltimore,Calcutta,2,1794
Baltimore,Calcutta,4,1804
Bennington,Calcutta,1,1789
Boston,Calcutta,2,1784
Boston,Calcutta,2,1789
Boston,Calcutta,1,1794
Boston,Calcutta,10,1799
Bridgeport,Calcutta,1,1799
"Burlington, Vermont",Calcutta,2,1804
Carlisle,Calcutta,1,1799
Charleston,Calcutta,1,1794
Charleston,Calcutta,10,1799
Charleston,Calcutta,4,1804
Concord,Calcutta,1,1799
Concord NH,Calcutta,1,1804
Dedham,Calcutta,1,1804
District of Columbia,Calcutta,3,1804
"Hanover, NH",Calcutta,1,1804
Harrisburg,Calcutta,2,1804
Hartford,Calcutta,1,1789
Hartford,Calcutta,2,1799
Hartford,Calcutta,1,1804
Litchfield,Calcutta,5,1799
Litchfield,Calcutta,1,1804
Middletown,Calcutta,1,1789
New Bedford,Calcutta,1,1804
New Haven,Calcutta,1,1804
New London,Calcutta,1,1789
New London,Calcutta,1,1794
New London,Calcutta,2,1799
New York City,Calcutta,2,1794
New York City,Calcutta,17,1799
New York City,Calcutta,16,1804
Newburyport,Calcutta,1,1804
Newport,Calcutta,1,1804
Northampton,Calcutta,1,1794
"Norwich, CT",Calcutta,1,1794
"Norwich, CT",Calcutta,2,1804
"Otsego, NY",Calcutta,3,1799
"Otsego, NY",Calcutta,1,1804
Philadelphia,Calcutta,3,1789
Philadelphia,Calcutta,4,1794
Philadelphia,Calcutta,45,1799
Philadelphia,Calcutta,16,1804
"Pittsfield, MA",Calcutta,2,1804
"Portland, ME",Calcutta,1,1799
"Portland, ME",Calcutta,2,1804
"Portsmouth, NH",Calcutta,1,1799
"Portsmouth, NH",Calcutta,1,1804
Providence,Calcutta,1,1784
Providence,Calcutta,3,1799
Providence,Calcutta,2,1804
Salem,Calcutta,2,1794
Salem,Calcutta,3,1799
Salem,Calcutta,3,1804
Springfield,Calcutta,1,1804
Walpole,Calcutta,1,1804
"Windham, MA",Calcutta,1,1799
"Windsor, VT",Calcutta,1,1789
"Windsor, VT",Calcutta,1,1799
"Windsor, VT",Calcutta,1,1804
"Worcester, MA",Calcutta,1,1794
Boston,Cambridge,1,1799
Carlisle,Cambridge,2,1799
Charleston,Cambridge,1,1799
"Elizabethtown, NJ",Cambridge,3,1799
Litchfield,Cambridge,2,1799
Philadelphia,Cambridge,16,1799
"Portsmouth, NH",Cambridge,1,1799
New York City,Cape Town,4,1804
Philadelphia,Cape Town,1,1804
New York City,Ceylon,1,1804
"Windsor, VT",Ceylon,1,1804
Boston,Chester,1,1784
New London,Chester,1,1764
New London,Chester,1,1784
New York City,Chester,2,1799
Philadelphia,Chester,1,1799
"Portsmouth, NH",Chester,1,1784
Salem,Chester,1,1784
Philadelphia,Cologne,1,1794
"Albany, NY",Cork,1,1804
Baltimore,Cork,2,1779
Baltimore,Cork,1,1789
Baltimore,Cork,1,1794
Bennington,Cork,1,1789
Boston,Cork,1,1779
Boston,Cork,2,1789
Boston,Cork,3,1799
Charleston,Cork,1,1794
Charleston,Cork,1,1799
Hartford,Cork,2,1789
Litchfield,Cork,1,1794
Litchfield,Cork,2,1799
Middletown,Cork,1,1789
New Haven,Cork,1,1789
New London,Cork,1,1779
New London,Cork,2,1789
New London,Cork,1,1799
New York City,Cork,1,1769
New York City,Cork,4,1784
New York City,Cork,4,1789
New York City,Cork,1,1794
New York City,Cork,4,1799
Newport,Cork,1,1769
Philadelphia,Cork,3,1784
Philadelphia,Cork,3,1789
Philadelphia,Cork,1,1794
Philadelphia,Cork,12,1799
"Portland, ME",Cork,1,1799
"Portsmouth, NH",Cork,1,1769
"Portsmouth, NH",Cork,2,1779
"Portsmouth, NH",Cork,3,1789
Providence,Cork,1,1789
Savannah,Cork,1,1799
Boston,Cornwall,1,1789
Hartford,Cornwall,1,1784
Litchfield,Cornwall,1,1789
New York City,Cornwall,1,1784
Philadelphia,Cornwall,1,1784
Philadelphia,Cornwall,1,1799
"Portsmouth, NH",Cornwall,1,1784
Providence,Cornwall,1,1784
Salem,Cornwall,1,1784
Boston,Corsica,1,1769
Hartford,Corsica,1,1769
New York City,Corsica,2,1769
"Portsmouth, NH",Corsica,1,1769
Hartford,Coventry,1,1769
Bennington,Dominica,1,1789
Boston,Dominica,5,1769
Boston,Dominica,3,1789
"Burlington, Vermont",Dominica,1,1804
Carlisle,Dominica,1,1804
Charleston,Dominica,1,1794
Litchfield,Dominica,1,1799
New London,Dominica,1,1769
New York City,Dominica,2,1769
New York City,Dominica,3,1789
New York City,Dominica,1,1794
New York City,Dominica,2,1799
Newport,Dominica,1,1769
"Norwich, CT",Dominica,1,1789
Philadelphia,Dominica,4,1789
Philadelphia,Dominica,1,1799
Philadelphia,Dominica,1,1804
"Portsmouth, NH",Dominica,1,1769
"Portsmouth, NH",Dominica,1,1774
"Portsmouth, NH",Dominica,1,1789
Providence,Dominica,1,1799
Savannah,Dominica,1,1799
"Windsor, VT",Dominica,1,1804
"Alexandria, VA",Dublin,2,1804
Baltimore,Dublin,1,1784
Baltimore,Dublin,2,1804
Bennington,Dublin,1,1799
Boston,Dublin,1,1764
Boston,Dublin,3,1774
Boston,Dublin,1,1779
Boston,Dublin,6,1784
Boston,Dublin,3,1789
Boston,Dublin,2,1799
"Burlington, Vermont",Dublin,2,1784
Carlisle,Dublin,1,1794
Carlisle,Dublin,1,1799
Charleston,Dublin,2,1789
Charleston,Dublin,1,1799
Charleston,Dublin,2,1804
District of Columbia,Dublin,1,1804
"Elizabethtown, NJ",Dublin,1,1799
Harrisburg,Dublin,1,1804
Hartford,Dublin,1,1774
Hartford,Dublin,2,1779
Hartford,Dublin,3,1784
Hartford,Dublin,3,1789
Hartford,Dublin,2,1799
Hartford,Dublin,1,1804
Middletown,Dublin,2,1794
New Haven,Dublin,2,1779
New London,Dublin,1,1764
New London,Dublin,1,1779
New London,Dublin,1,1799
New York City,Dublin,4,1784
New York City,Dublin,6,1789
New York City,Dublin,4,1794
New York City,Dublin,5,1799
New York City,Dublin,7,1804
Newport,Dublin,1,1774
Newport,Dublin,1,1784
Newport,Dublin,1,1799
"Norwich, CT",Dublin,1,1779
"Norwich, CT",Dublin,2,1784
"Norwich, CT",Dublin,1,1789
"Norwich, CT",Dublin,1,1799
Philadelphia,Dublin,1,1774
Philadelphia,Dublin,2,1779
Philadelphia,Dublin,11,1784
Philadelphia,Dublin,11,1789
Philadelphia,Dublin,3,1794
Philadelphia,Dublin,7,1799
Philadelphia,Dublin,7,1804
"Portsmouth, NH",Dublin,1,1779
"Portsmouth, NH",Dublin,2,1789
Providence,Dublin,1,1764
Providence,Dublin,3,1784
Providence,Dublin,1,1794
"Richmond, VA",Dublin,1,1804
Salem,Dublin,1,1784
Salem,Dublin,1,1789
Salem,Dublin,2,1799
Williamsburg,Dublin,2,1774
"Worcester, MA",Dublin,1,1794
"Albany, NY",Edinburgh,1,1804
"Alexandria, VA",Edinburgh,1,1804
Baltimore,Edinburgh,4,1789
Baltimore,Edinburgh,2,1794
Bennington,Edinburgh,1,1804
Boston,Edinburgh,1,1759
Boston,Edinburgh,4,1764
Boston,Edinburgh,1,1779
Boston,Edinburgh,3,1784
Boston,Edinburgh,3,1789
Boston,Edinburgh,3,1794
Boston,Edinburgh,2,1799
Boston,Edinburgh,1,1804
Carlisle,Edinburgh,2,1804
Charleston,Edinburgh,4,1789
Charleston,Edinburgh,10,1794
Charleston,Edinburgh,5,1799
Charleston,Edinburgh,3,1804
Concord NH,Edinburgh,1,1804
Dedham,Edinburgh,1,1804
District of Columbia,Edinburgh,1,1804
"Elizabethtown, NJ",Edinburgh,2,1794
"Elizabethtown, NJ",Edinburgh,1,1799
"Hanover, NH",Edinburgh,1,1804
Harrisburg,Edinburgh,1,1804
Hartford,Edinburgh,2,1789
Hartford,Edinburgh,1,1804
Litchfield,Edinburgh,2,1799
Middletown,Edinburgh,1,1799
Middletown,Edinburgh,1,1804
New Bedford,Edinburgh,2,1799
New Haven,Edinburgh,1,1799
New London,Edinburgh,1,1764
New London,Edinburgh,2,1794
New London,Edinburgh,1,1799
New London,Edinburgh,1,1804
New York City,Edinburgh,5,1764
New York City,Edinburgh,2,1784
New York City,Edinburgh,3,1789
New York City,Edinburgh,4,1794
New York City,Edinburgh,7,1799
New York City,Edinburgh,12,1804
Newport,Edinburgh,1,1799
Northampton,Edinburgh,1,1794
"Norwich, CT",Edinburgh,1,1784
"Norwich, CT",Edinburgh,2,1794
"Norwich, CT",Edinburgh,1,1799
"Norwich, CT",Edinburgh,1,1804
"Otsego, NY",Edinburgh,3,1804
Philadelphia,Edinburgh,2,1774
Philadelphia,Edinburgh,2,1779
Philadelphia,Edinburgh,2,1784
Philadelphia,Edinburgh,7,1789
Philadelphia,Edinburgh,16,1794
Philadelphia,Edinburgh,3,1799
Philadelphia,Edinburgh,4,1804
"Portland, ME",Edinburgh,1,1799
"Portsmouth, NH",Edinburgh,1,1794
"Portsmouth, NH",Edinburgh,1,1799
Providence,Edinburgh,3,1764
Providence,Edinburgh,1,1769
Providence,Edinburgh,2,1789
Providence,Edinburgh,1,1794
Providence,Edinburgh,1,1799
Providence,Edinburgh,1,1804
"Rutland, Vermont",Edinburgh,1,1804
Salem,Edinburgh,3,1794
Salem,Edinburgh,2,1799
Salem,Edinburgh,1,1804
Savannah,Edinburgh,2,1799
Springfield,Edinburgh,1,1804
Williamsburg,Edinburgh,3,1774
"Windham, MA",Edinburgh,1,1799
"Windham, MA",Edinburgh,1,1804
"Windsor, VT",Edinburgh,1,1794
"Worcester, MA",Edinburgh,1,1794
Boston,Exeter,1,1764
Boston,Exeter,1,1784
New London,Exeter,1,1784
Salem,Exeter,1,1784
Boston,Falmouth,7,1789
New York City,Falmouth,1,1789
Boston,Frankfurt,2,1769
New York City,Frankfurt,2,1769
Newport,Frankfurt,1,1769
"Portsmouth, NH",Frankfurt,1,1769
"Alexandria, VA",Gibraltar,1,1804
Baltimore,Gibraltar,1,1804
Hagerstown,Gibraltar,1,1804
Harrisburg,Gibraltar,1,1804
Litchfield,Gibraltar,1,1804
New Haven,Gibraltar,1,1804
New York City,Gibraltar,2,1804
Newburyport,Gibraltar,1,1804
"Norwich, CT",Gibraltar,1,1804
Philadelphia,Gibraltar,3,1804
"Albany, NY",Glasgow,2,1804
"Alexandria, VA",Glasgow,4,1804
Baltimore,Glasgow,1,1804
Boston,Glasgow,1,1759
Boston,Glasgow,1,1764
Boston,Glasgow,2,1789
Boston,Glasgow,1,1794
Boston,Glasgow,1,1799
Charleston,Glasgow,1,1794
Charleston,Glasgow,2,1799
Concord,Glasgow,1,1799
Dedham,Glasgow,1,1804
District of Columbia,Glasgow,6,1804
"Elizabethtown, NJ",Glasgow,1,1789
"Elizabethtown, NJ",Glasgow,1,1794
Hagerstown,Glasgow,1,1804
Hartford,Glasgow,1,1769
Hartford,Glasgow,2,1789
Hartford,Glasgow,2,1799
Hartford,Glasgow,1,1804
Middletown,Glasgow,1,1789
New Haven,Glasgow,1,1789
New London,Glasgow,1,1794
New York City,Glasgow,2,1789
New York City,Glasgow,2,1794
New York City,Glasgow,3,1799
New York City,Glasgow,22,1804
Newburyport,Glasgow,1,1804
Newport,Glasgow,2,1789
Newport,Glasgow,1,1794
Northampton,Glasgow,1,1804
"Norwich, CT",Glasgow,1,1794
"Norwich, CT",Glasgow,1,1804
Philadelphia,Glasgow,4,1789
Philadelphia,Glasgow,4,1799
Philadelphia,Glasgow,6,1804
"Portland, ME",Glasgow,1,1799
"Portsmouth, NH",Glasgow,1,1794
Providence,Glasgow,1,1794
Providence,Glasgow,1,1799
Salem,Glasgow,1,1794
Salem,Glasgow,4,1804
Savannah,Glasgow,1,1799
"Windham, MA",Glasgow,1,1804
"Windsor, VT",Glasgow,1,1799
"Windsor, VT",Glasgow,1,1804
Boston,Gloucester,2,1764
New Haven,Gloucester,1,1789
New London,Gloucester,1,1789
New York City,Gloucester,1,1764
Providence,Gloucester,1,1764
Williamsburg,Gloucester,1,1769
Boston,Grenada,2,1769
Boston,Grenada,2,1774
Boston,Grenada,1,1779
"Burlington, Vermont",Grenada,1,1784
Charleston,Grenada,1,1794
Charleston,Grenada,1,1804
Hartford,Grenada,1,1774
Hartford,Grenada,1,1779
Middletown,Grenada,1,1794
New Haven,Grenada,1,1774
New Haven,Grenada,1,1779
New London,Grenada,1,1769
New London,Grenada,1,1774
New York City,Grenada,3,1769
New York City,Grenada,1,1779
New York City,Grenada,1,1794
"Norwich, CT",Grenada,1,1779
Philadelphia,Grenada,2,1774
Philadelphia,Grenada,1,1779
"Portsmouth, NH",Grenada,1,1774
Providence,Grenada,1,1769
Providence,Grenada,1,1774
Providence,Grenada,1,1779
New York City,Guadaloupe,1,1779
Philadelphia,Guadaloupe,1,1779
Charleston,Haarlem,1,1799
"Elizabethtown, NJ",Haarlem,2,1799
New York City,Haarlem,1,1799
Philadelphia,Haarlem,2,1799
Baltimore,Hague,1,1784
Baltimore,Hague,1,1789
Boston,Hague,2,1764
Boston,Hague,1,1769
Boston,Hague,1,1789
Boston,Hague,2,1804
Charleston,Hague,1,1794
Harrisburg,Hague,1,1804
